,online_order,book_table,cuisines,approx_cost(for two people),listed_in(type),type,rate
20269,1,0,6,600.0,2,4,2.7
1557,0,0,17,350.0,2,8,3.9
45820,1,1,17,1200.0,4,4,4.1
46392,1,0,12,250.0,2,7,3.3
42944,0,0,17,350.0,2,8,3.4
47666,1,1,17,1200.0,2,5,4.1
38226,1,0,17,1300.0,2,4,3.9
12250,1,0,13,200.0,2,10,3.1
21479,0,0,18,100.0,4,8,3.7
38998,0,0,17,200.0,4,8,3.3
14409,1,0,17,400.0,4,8,3.5
31376,0,0,15,800.0,4,4,3.5
28558,1,0,17,600.0,4,4,2.9
5595,1,0,7,100.0,2,7,3.5
45295,1,0,17,700.0,2,3,4.0
32251,1,0,14,400.0,2,6,4.3
14857,1,1,14,2100.0,2,10,3.9
39463,1,0,17,400.0,2,10,3.9
17524,0,1,17,1600.0,0,4,4.7
37248,1,0,18,200.0,4,8,3.9
37287,1,0,3,500.0,4,3,3.5
25040,0,0,15,250.0,4,8,3.3
3017,1,0,18,100.0,2,8,4.3
6776,1,1,17,600.0,1,10,4.3
45771,1,0,17,500.0,4,8,3.7
25360,1,0,17,450.0,2,4,3.7
32299,1,0,17,600.0,2,8,3.9
22425,1,0,20,600.0,2,4,3.8
29350,1,0,17,800.0,2,4,4.0
6526,0,0,18,100.0,4,8,3.2
32898,1,0,17,300.0,2,2,3.7
31397,1,0,17,700.0,4,4,3.8
19268,0,0,17,1500.0,5,10,4.7
38882,0,0,17,1200.0,4,10,3.7
16236,1,0,17,400.0,2,8,3.9
10618,1,0,14,400.0,4,8,3.7
41563,1,1,17,1100.0,4,5,4.1
33883,1,0,17,400.0,4,8,3.8
19906,1,0,17,400.0,2,10,3.7
6620,0,1,11,3000.0,5,10,4.3
30965,1,0,9,500.0,3,7,4.1
47999,1,0,8,450.0,3,10,4.5
31074,1,0,17,600.0,4,4,4.4
9608,0,0,17,250.0,2,8,3.2
33092,1,0,17,600.0,2,4,3.5
39993,1,0,17,300.0,2,8,3.2
24770,1,0,14,350.0,4,8,4.0
44954,1,0,17,400.0,2,10,4.0
6331,1,0,17,300.0,4,8,3.2
6696,1,1,17,1000.0,6,5,4.2
8610,1,0,17,200.0,2,8,3.6
3497,0,1,17,800.0,4,4,3.6
12699,0,0,11,1500.0,4,10,2.0
2086,1,0,17,400.0,4,8,3.4
38265,0,0,17,800.0,2,4,4.1
8523,1,0,14,250.0,2,8,4.0
44102,1,0,18,200.0,2,8,3.5
22217,1,0,15,300.0,2,8,3.1
8677,0,0,17,100.0,2,8,4.0
12525,1,1,17,1400.0,4,4,4.1
14346,0,0,17,100.0,4,8,3.7
6902,1,0,17,300.0,2,6,3.9
44438,0,1,17,1100.0,4,4,4.0
6989,0,0,19,400.0,2,4,3.2
41526,0,1,17,1300.0,4,4,4.8
25089,0,0,17,500.0,4,4,3.3
5964,1,0,17,800.0,4,4,3.7
42880,0,0,17,400.0,2,2,3.8
